"","TCGA-HU-A4GX-11A-11R-A252-13","TCGA-BR-7704-11A-01R-2055-13","TCGA-IN-AB1X-11A-21R-A39F-13","TCGA-CG-5733-11A-01R-1602-13","TCGA-BR-7716-11A-01R-2055-13","TCGA-CG-5730-11A-01R-1602-13","TCGA-HU-A4GY-11A-11R-A24L-13","TCGA-BR-8060-11A-01R-2343-13","TCGA-BR-6564-11A-01R-1884-13","TCGA-HU-A4GX-11X-11R-A360-13","TCGA-HU-A4G9-11A-11R-A360-13","TCGA-HU-A4GY-11X-11R-A360-13","TCGA-CG-5722-11A-02R-1602-13","TCGA-BR-6458-11A-01R-1802-13","TCGA-CG-5728-11A-01R-1602-13","TCGA-BR-6852-11A-01R-1884-13","TCGA-SW-A7EA-11A-11R-A353-13","TCGA-HU-A4GP-11A-21R-A252-13","TCGA-HU-A4G9-11X-11R-A24L-13","TCGA-CG-5730-01A-11R-1602-13","TCGA-BR-7704-01A-11R-2055-13","TCGA-HU-A4G9-01A-11R-A24L-13","TCGA-BR-8060-01A-11R-2343-13","TCGA-HU-A4GP-01A-11R-A252-13","TCGA-BR-6564-01A-12R-1884-13","TCGA-BR-7716-01A-21R-2055-13","TCGA-HU-A4GY-01A-21R-A24L-13","TCGA-CG-5722-01A-21R-1602-13","TCGA-SW-A7EA-01A-12R-A353-13","TCGA-CG-5733-01A-11R-1602-13","TCGA-CG-5728-01A-11R-1602-13","TCGA-BR-6458-01A-11R-1802-13","TCGA-HU-A4GX-01A-12R-A252-13","TCGA-IN-AB1X-01A-11R-A39F-13","TCGA-BR-6852-01A-11R-1884-13"
"hsa-mir-4785","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","0","0","0","1","0","1","0","1","0","0","2","0","1","0","0","0","2","0"
"hsa-mir-4786","4","4","2","1","7","2","17","2","5","4","3","11","7","3","2","1","7","11","8","2","5","2","4","0","6","0","1","4","2","0","2","5","1","2","1"
"hsa-mir-4787","2","2","0","1","0","2","2","0","4","0","0","1","5","1","1","2","3","4","0","2","2","4","1","1","0","0","6","5","3","2","2","2","2","0","4"
"hsa-mir-4788","2","0","0","0","3","2","0","1","0","0","0","0","0","1","2","1","1","0","0","0","3","0","4","3","0","1","0","0","1","0","0","6","0","0","5"
"hsa-mir-4789","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-4790","0","1","0","2","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","1","0","0","2","0","0","0","0","1","0","0"
"hsa-mir-4791","0","1","1","1","1","1","0","0","2","1","0","0","13","1","2","5","1","0","1","9","4","1","0","0","1","3","1","4","2","1","4","5","1","0","0"
"hsa-mir-4792","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4793","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","1","1","0","0","1","1","0","3","0","0","0","0","0"
"hsa-mir-4794","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-4795","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-4796","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0"
"hsa-mir-4797","0","0","1","1","0","0","1","1","1","0","1","0","2","1","0","3","3","1","0","1","2","1","0","0","1","1","0","1","3","1","3","1","0","4","3"
"hsa-mir-4798","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-4799","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4800","0","0","1","0","0","1","0","1","6","0","0","0","0","0","1","2","2","0","0","0","0","0","1","0","3","0","1","1","0","0","0","0","0","0","1"
"hsa-mir-4801","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4802","0","0","0","1","0","0","0","1","3","0","0","0","1","1","1","0","0","0","0","1","0","0","1","1","0","0","2","1","1","1","1","4","0","2","2"
"hsa-mir-4803","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4804","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1"
"hsa-mir-483","3","8","4","2","1","5","3","0","10","5","18","1","10","1","0","8","13","3","6","5","2","0","1","1","11","1","5","2","11","10","14","9","2","7","12"
"hsa-mir-484","138","132","203","413","26","427","140","301","627","128","287","129","1205","434","488","620","395","112","199","388","228","34","607","99","236","45","318","512","249","433","367","549","238","349","278"
"hsa-mir-485","9","10","8","6","4","20","8","5","10","14","59","6","28","12","9","11","12","7","9","6","28","1","6","0","29","2","24","13","22","14","22","31","6","6","18"
"hsa-mir-486-1","147","1356","1532","371","193","1562","141","1373","5294","227","439","141","1791","399","422","181","1015","166","185","95","48","53","208","54","62","8","83","148","903","904","92","73","188","405","72"
"hsa-mir-486-2","140","1354","1569","388","182","1584","159","1340","5396","184","443","182","1817","424","431","204","1010","170","175","85","41","42","208","50","55","12","94","168","895","911","108","69","207","354","66"
"hsa-mir-487a","4","1","2","0","1","6","0","2","14","0","6","0","18","4","1","7","6","1","4","5","3","1","1","1","14","1","10","6","8","13","11","18","3","4","3"
"hsa-mir-487b","11","27","31","11","4","29","8","25","50","9","54","10","50","31","31","28","49","6","39","15","28","0","10","5","87","6","49","48","40","28","55","42","11","14","11"
"hsa-mir-488","1","1","0","0","0","0","2","0","1","0","5","0","1","0","0","0","2","1","1","0","0","1","18","0","3","1","0","0","0","0","1","0","0","0","0"
"hsa-mir-489","0","0","1","0","0","0","0","1","1","0","1","0","2","0","3","1","0","0","0","0","1","0","14","0","4","0","0","2","0","1","1","5","0","0","0"
"hsa-mir-490","745","701","8","4","58","79","827","429","570","942","3556","754","572","6","9","11","561","613","1428","2","1","0","103","0","414","11","1","16","3","0","110","1","4","0","11"
"hsa-mir-491","5","12","6","15","2","18","7","7","32","2","14","8","69","17","9","23","17","13","12","13","8","0","12","3","13","1","5","13","3","13","7","10","6","6","10"
"hsa-mir-492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"hsa-mir-493","18","27","25","9","6","31","0","37","74","19","102","4","52","21","19","48","38","5","35","49","46","4","28","9","131","21","74","59","148","84","98","120","8","37","22"
"hsa-mir-494","1","2","2","0","0","3","1","2","9","0","9","0","9","4","7","4","8","1","3","6","2","1","0","2","20","2","31","11","12","8","11","11","1","2","2"
"hsa-mir-495","36","47","43","24","8","49","24","28","69","17","103","10","77","39","30","38","73","9","55","25","26","1","24","9","78","11","87","43","78","48","44","65","16","29","25"
"hsa-mir-496","2","8","10","3","3","1","2","4","4","1","13","0","8","0","1","4","2","3","4","3","10","0","12","0","17","1","8","1","22","14","15","13","2","1","7"
"hsa-mir-497","82","96","79","123","23","243","102","133","424","50","248","92","857","138","173","219","182","59","97","68","43","4","54","22","500","21","246","206","26","59","182","196","40","66","57"
"hsa-mir-498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-4999","4","2","5","0","1","1","5","4","8","5","10","6","21","5","12","26","11","2","7","2","2","2","3","0","6","1","5","23","6","0","5","1","4","7","15"
"hsa-mir-499a","0","1","2","1","3","3","0","1","4","1","8","0","6","0","1","3","1","2","2","1","1","0","2","0","1","0","2","1","0","1","1","3","1","1","3"
"hsa-mir-499b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-5000","6","3","5","5","1","5","1","8","6","3","4","1","12","5","4","13","6","4","2","10","10","2","9","0","19","1","3","19","4","10","10","2","6","8","21"
"hsa-mir-5001","1","2","2","4","0","2","0","0","6","1","0","2","9","5","5","2","5","0","0","4","1","1","1","1","3","0","1","7","5","4","2","6","0","9","6"
"hsa-mir-5002","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","1","4","0","0","1","0","0","2","0","1","0","0","0","2","0","2","0","0","0","0"
"hsa-mir-5003","0","0","2","0","0","4","0","1","1","0","0","0","2","0","0","0","1","0","0","13","1","0","7","0","1","3","0","1","0","2","1","1","0","1","0"
"hsa-mir-5004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5006","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-5007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5008","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","4","0","0","0","1","0","0","0","1","1","0","0","0"
"hsa-mir-5009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","1","3"
"hsa-mir-500a","270","189","589","499","165","632","285","283","910","198","323","201","939","682","505","728","791","261","287","1654","1882","488","570","457","1363","315","2037","1607","440","1240","1030","1109","888","559","1195"
"hsa-mir-500b","15","7","19","17","11","28","8","15","26","7","15","11","62","50","36","33","55","8","5","71","53","29","22","17","33","11","101","74","36","62","37","49","40","34","47"
"hsa-mir-501","32","16","89","108","13","93","42","38","138","30","59","27","196","150","105","146","127","33","40","434","267","91","142","76","214","73","297","368","96","256","214","240","115","167","252"
"hsa-mir-5010","0","1","3","1","0","4","4","4","4","1","7","3","3","7","2","2","1","6","2","1","3","1","1","2","3","0","1","4","3","1","6","2","3","11","9"
"hsa-mir-5011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-502","20","19","29","34","12","37","12","61","56","13","35","19","103","82","53","76","72","14","23","55","100","22","17","31","111","11","106","90","56","94","43","57","40","74","75"
"hsa-mir-503","3","1","0","32","4","76","3","7","8","1","9","2","39","14","22","155","15","4","5","44","17","2","104","3","22","18","21","33","85","38","26","126","11","27","70"
"hsa-mir-504","9","4","6","1","1","10","2","2","15","5","4","4","39","2","3","4","17","6","4","1","0","0","1","0","8","0","11","2","0","3","6","9","0","1","0"
"hsa-mir-5047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-505","67","44","69","257","28","311","60","105","398","43","87","51","801","295","286","362","158","56","87","363","142","31","93","52","304","96","281","603","182","373","348","595","111","104","249"
"hsa-mir-506","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","13","0","0","2","0","0","0","0"
"hsa-mir-507","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","0","1","1","0","0","0"
"hsa-mir-508","2","5","0","1","2","17","5","2","8","3","1","3","3","2","1","4","5","4","1","3","12","1","5","0","7","4","6","284","2","4","65","12","22","17","19"
"hsa-mir-5087","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"hsa-mir-5088","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-5089","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"hsa-mir-509-1","0","0","1","0","0","2","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","3","2","46","1","0","7","0","5","1","1"
"hsa-mir-509-2","1","0","0","1","0","2","1","1","1","1","0","2","1","0","0","0","0","0","0","0","0","0","1","3","1","0","0","44","1","0","10","0","7","2","1"
"hsa-mir-509-3","0","0","1","0","0","1","0","1","2","0","0","0","0","0","1","0","1","0","0","0","2","0","3","2","0","0","3","48","0","0","9","0","6","0","0"
"hsa-mir-5090","0","0","0","0","0","2","0","1","1","1","0","1","0","1","2","2","0","0","0","0","3","1","0","1","0","0","0","0","0","0","0","0","0","2","2"
"hsa-mir-5091","0","4","0","0","4","3","0","0","0","1","1","0","2","1","0","2","4","0","2","3","2","0","0","1","0","1","1","0","0","2","0","3","0","6","1"
"hsa-mir-5092","0","0","2","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","4","0","1","0","1","0","1","0","0","1","2","0","2","1","1","0"
"hsa-mir-5093","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-5094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","12","0","1","0","0","4","0","0","0"
"hsa-mir-5095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5100","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-511","10","5","25","30","4","32","17","10","101","11","15","9","110","53","40","126","54","20","21","15","25","2","21","6","72","18","72","48","13","48","107","104","22","51","209"
"hsa-mir-512-1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","6","0","0","2","0","0","0","0","0","1","0","0","2","0","0","2","0","0","0"
"hsa-mir-512-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","1","0","0","0","0","1","0","0","2","0","1","0","0","1","0"
"hsa-mir-513a-1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-513a-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"hsa-mir-513b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-513c","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","2","0","0","1","0","0","0","4","0","1","0","0","3","0","2"
"hsa-mir-514a-1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","0","0","1","0","0","0","2","1","1","4","2","0","8","5","0","3","0"
"hsa-mir-514a-2","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","2","0","0","0","4","0","1","0","3","0","0","8","0","0","3","3","0","3","3"
"hsa-mir-514a-3","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","2","0","1","0","4","0","0","5","0","0","9","4","1","3","0"
"hsa-mir-514b","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","2","1","0","0","0"
"hsa-mir-515-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"hsa-mir-515-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"hsa-mir-516a-1","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","1","0","0","0","7","1","1","0","0","0","0"
"hsa-mir-516a-2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","7","0","1","0","1","0","0"
"hsa-mir-516b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0"
"hsa-mir-516b-2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-517a","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","2","0","0","14","0","0","0","0","0","0"
"hsa-mir-517b","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","2","0","0","14","0","0","0","0","0","0"
"hsa-mir-517c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0"
"hsa-mir-5186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5187","1","4","2","0","2","2","0","0","4","1","4","0","2","0","2","2","0","0","1","0","1","0","0","0","3","0","0","0","3","1","2","0","0","1","1"
"hsa-mir-5188","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5189","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-518a-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"hsa-mir-518a-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0"
"hsa-mir-518b","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","6","0","1","0","0","0","1","0","0","0","0","0","4","1","1","0","0","0","1"
"hsa-mir-518c","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","16","0","0","0","1","0","0","0","0","0","0","0","5","0","0","0","0","1","0"
"hsa-mir-518d","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-518e","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-518f","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"hsa-mir-5190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5193","0","0","0","3","0","1","0","0","2","0","1","0","1","1","1","0","1","0","1","1","1","0","0","0","4","0","0","2","1","0","2","1","0","0","3"
"hsa-mir-5194","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-5195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5196","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-519a-1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","3","0","5","0","0","0","1"
"hsa-mir-519a-2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2"
"hsa-mir-519b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-519c","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-519d","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","10","0","0","0","0","0","0","0","2","1","0","0","2","0","0","0","0","0","0"
"hsa-mir-519e","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-520a","0","1","0","0","1","0","0","2","2","0","1","0","0","0","0","0","25","1","1","0","2","0","0","0","1","1","0","0","13","0","3","0","0","0","0"
